player_id,full_name
32213,Ronaldo Aparecido Rodrigues
346935,Yago Felipe da Costa Rocha
96928,Sérgio Felipe Dias Ribeiro
30505,José Eduardo Bischofe de Almeida
212713,Francisco Manuel Geraldo Rosa
213271,Leonardo Passos Alves
518723,Luiz Gustavo Novaes Palhares
936544,Erick Da Costa Farias
29855,Ebrahim Sawaneh
32806,Oélilton Araújo dos Santos
1202380,João Pedro Pantiga Gomes
937958,Lamine Yamal Nasraoui Ebana
939763,Yago Cariello Ribeiro
96819,Bruno Henrique Turco
347090,Leandro Vilela Sales Teixeira
32568,Pedro Tonon Geromel
941938,Martim de Sá Boloto de Magalhães Coelho
1202387,Ryan Francisco Rodrigues dos Santos Silva
1202381,Felipe Gabriel Preis
673492,Felipe Rodrigues da Silva
673830,Luis Phelipe de Souza Figueiredo
213539,Matheus Cotulio Bossa
99353,Cristian Portugués Manzanera
347100,Jonathan Renato Barbosa
1206621,Jorge Meurer Bartholdy
347019,Júlio César de Freitas Filho
943237,Cleiton Santana dos Santos
32860,Aílton José Almeida
943837,Vitor Hugo Roque Ferreira
213368,Pedro Henrique Konzen Medina da Silva
517669,Allef de Andrade Rodrigues
213510,João Tiago Serrão Garcês
674732,Wesley Ribeiro Silva
213605,Victor Vinícius Coelho dos Santos
347185,Suéliton Florencio Nogueira
32966,Ângelo Mariano de Almeida
99189,Judilson Mamadu Tuncará Gomes
672449,José Pedro Ferreira de Oliveira
213606,Gabriel Girotto Franco
1219008,Vinícius Menezes Uchella
347913,Luan Peres Petroni
99510,Isael da Silva Barbosa
99439,Danilo Fernandes Batista
947404,Diogo Bezerra de Oliveira
519731,Danilo Pereira da Silva
213619,Rafael da Silva
347824,Mateus Anderson Veloso Sousa
519877,Carlos Eduardo de Souza Vieira
33315,Diego de Souza Andrade
675047,Daniel Nascimento Peixoto dos Santos
519748,José Ricardo Avelar Ribeiro
32816,Danilo Larangeira
520093,Raul Jonas Steffens
214007,Judikael Magique Goualy
348261,Iago Justen Maidana Martins
675878,Cristian Daniel Dal Bello Fagundes
348262,Gustavo Bonatto Barreto
99548,Dyanfres Douglas Chagas Matos
33357,João Miranda de Souza Filho
214070,Ewerton da Silva Pereira
520081,Marcio Augusto da Silva Barbosa
99523,Nicolás Andrade David
1219240,Cristiano Araújo de Moraes Junior
33481,Gervais Lombe Yao Kouassi
1219248,Kayke Gouvêa Queiroz
214144,Wanderson Carvalho de Oliveira
520454,Marcilio Florencio Mota Filho
348267,Bruno Edgar Silva Almeida
952730,Francisco José Vilas Boas Pereira
676034,Ewerthon Diógenes da Silva
1215842,Wendell dos Santos Sacramento
99615,Sérgio Dutra Júnior
520392,Michael Richard Delgado de Oliveira
1219689,Landerson Costa Araújo
677512,Talles Magno Bacelar Martins
214699,Guilherme Henrique dos Reis Lazaroni
33537,Olberdam de Oliveira Serra
1219749,Riquelme Felipe Silva de Almeida
33563,Carlos Emanuel Soares Tavares
99632,Alex Sandro Mendonça dos Santos
950393,Viery Fernandes Santos Lopes
214701,Bruno Ferreira Ventura Diniz
